Tourist_volume,Aribnb_booking_revenue,exchange_rate,average_temperature
7047,1642,1.6551,6.5
9837,2543,1.6832,12.5
10305,3236,1.67,15.9
8148,2021,1.5608,8.7
7536,1841,1.5139,5.2
9989,2440,1.534,11.3
10512,3103,1.5488,14.8
8755,2000,1.4819,10
8198,1862,1.4307,5.6
10137,3129,1.4342,11.5
10892,3691,1.3127,16.5
9900,2348,1.2303,7.8
8847,2419,1.2393,6.4
11012,3025,1.2807,12.6
11899,4434,1.3087,15.2
9322,2703,1.351,8.1
8547,2928,1.3919,4.5
10521,3537,1.3602,12.8
11535,4849,1.3036,16.4
9678,2650,1.2769,8.6
8331,2837,1.3029,6.3
10364,4750,1.2852,11.5
11865,5040,1.233,16.3
10297,3339,1.321,7.6
6994,1021,1.2792,6.6
398,630,1.2418,12.7
2322,983,1.2914,15.6
1386,1238,1.3649,8.1
195,1141,1.3791,5.3
277,2160,1.3987,10.7
2039,4676,1.3779,16.6
3752,2981,1.3477,8.8
3911,2695,1.3412,6.6
8045,4294,1.2542,15.6
8990,6052,1.1775,11.1
