,neighborhood_overview,review_scores_location
32,North London  West Green  Tottenham,5
45,a very save   of central London   Pimlico is a calm neighborhood with lots of restaurants  a local farmer market which is open daily till 13hrs  supermarkets   short     Chelsea park andBattersea park  are   by so is the Tate Modern Museum  Sloane Square in Kensigton can be reached     the rent does include all billings except phone bill ,5
64,West Hampstead is  to all intents and purposes  just one street - West End Lane  It is located in the London Borough of Camden  in zone two of the London Underground  It borders Belsize Park/Finchley Road to the east  and Kilburn/Willesden to the west  In the north are Cricklewood and Golders Green  whilst to the south lie uber-refined St  John's Wood and Maida Vale  The   is home to three train stations  all  confusingly  called West Hampstead   and is a bona fide yuppie stronghold  Though West Hampstead is hardly a place that springs to  d when you think nightlife  it has a smattering of good restaurants  pubs and bars  On the whole  the  's watering holes are towards the swankier  and pricier  end of the spectrum  and places tend to feel more mature feel than  say  Camden Town   In terms of nightclubs  Lately on West End Lane is a char g old-school dancing spot  whilst the Lower Ground Bar  also on West End Lane  flaunts its status as  West Hampstead's Premi,5
90,Yes Arsenal Football Stadium is a stones throw    but there's so much more too  The   is beco g a real foodie haven with the opening of  cafes  dirty burger  the chicken shop  italian pizzeria where there's always a queue  coffee roasters  a fabulous wine and cheese shop  delicious vietnamese  famous chinese  bakeries  plus there's always the long standing a  local pubs   If it's shopping you're after  you're in luck  If the enormous amount of shops along Upper Street doesn't work for you  jump on the overland train to Westfield  or bus to Camden  or tube to Oxford Street  There's a classic old cinema 10     to Holloway  or   towards Angel for the more snazzy  Screen on the Green cinema  with sofas and a bar in the cinema  ,5
112,East London is one of the most culturally rich  s in the UK - with  independently owned shops selling clothes  art  and all things vintage  Hackney offers real diversity in terms of restaurants  with a cuisine to suit every palate  In addition  there are numerous bars and live gig spaces  Hackney has historically attracted artists and creatives in all manner of professions  Hence there's a strong art scene and impromptu events which pop up with  frequency  Victoria Park village has all the charm you might imagine - set in an urban atmosphere and vibe - here you'll find  locally-owned shops  which include an amazing delicatessen  freshly baked bread  a fabulous wine shop which also sells craft beers  Restaurants in the village include Italian  Cosmopolitan restaurants and 3 excellent coffee shops with delicious fresh pastries and very good coffee   Let's not forget the park  it really is one of the best in London  a vast open space with a lake  2 coffee shops  tennis c,5
133,The   is 7     to Hyde Park and Kensington Gardens  which is even bigger park  and 20   Regents Park which is full of flowers ,5
135,A beautiful  residential street in the heart of Notting Hill      from the famous Portobello Road Market  as   as top restaurants  stylish bars   traditional pubs  Hyde Park  and the very best that London has to offer ,5
138,Village feel with a high st with 24hr Tescos not far from the 24hr Leytonstone tube station,5
146,We have been living in East London for more than ten years and the   is thriving  There are plenty of restaurants and cafes around  several art galleries and  pubs ,5
158,The restaurants  shops and pubs on Upper Street are amazing  The beautiful Regent's canal is only a 10         There is always plenty of new things to discover in this  ,5
208,Very quiet as based in a cul-de-sac ,5
295,Cafes  parks  canal  s  friendly people  pop-up events  buses and trains   community atmosphere  yoga studios and a  view from my   ,5
426,Our  is fun and lively  Camden Lock is ten      There are lots of shops  bars  restaurants  theatres and cafes  Also parks and a zoo  Camden is famous for its music venues too ,5
451,The island is a community of just under 30  s with a broad mix of ages  The ferry to access the island is shared by all so provides a lovely opportunity to catch up with neighbours ,5
461,Our apartment is located on the vibrant Queensway   only metres   from two underground stations  Queensway and Bayswater  serving the Central and District-Circle Lines of the London Underground system  as   as   bus lines granting access to Piccadilly Circus in under 20     With an abundance of amenities literally on the doorstep your will be spoiled for choice   Restaurants of over 30 nationalities offering the best international cuisine  trendy shops  gyms with daily and weekly membership  chemist  three groceries on our very street   open until 23 00 even on Sunday   and to top it all  worldwide known and beautiful Hyde Park is only at the end of the street ,5
485,The   offers wonderful contrasts   the immediate   is leafy and tranquil yet it has easy access to the centre of London  fabulous shops and restaurants   a Sainsbury's Superstore       and beautiful parks   easy      The  s are built around a central garden green providing a wonderful social space in the summer where the children play together and adults share the odd glass of wine in the sun ,5
498,We are located in the intersection between Hackney  Bethnal Green and Shoreditch   East London is infamous for its hipsters and street style - but that's due to the air of tolerance and 'anything goes' approach   We love this   for its diverse community where all ethnicities  social backgrounds and persuasions inter gle   We've lived in the  for 13 years and still love it   In the past few years the   has gentrified further  which of course is not without its problems   But from the perspective of a visitor you'll now find there are a huge range of independent shops  barista coffee spots and delicious food   a short   either direction   We'll leave a list of restaurant recommendations for you ,5
512,The   is situated in the heart of Fitzrovia  a thriving community and probably the one   of central London that has seen the most change in recent years  with the   known Charlotte Street and its   restaurants  cafes and lively nightlife   Although   to Tottenham Court Road  the apartment is located on a quiet street   Hundreds of world class bars and restaurants are literally on your doorstep  The beauty of this location is it enables you to   everywhere    The  thing about being located in Fitzrovia  is the fact that you are     form 'must see'  s - Soho  Covent Garden and The West End   This is what Airbnb has to say about the surrounding  s  SOHO like Britain's famous agent  James Bond  this  leads a double life  Soho's streets are home to clean-cut record shops and fashionable galleries  Crowds flock to this edgy epicentre to experience its sultry past and trendy present  Soho,5
554,Hollywood Rd is one of the most renowned streets in London with a multitude of outstanding dining and drinking options   a five      URL HIDDEN  is also one of the premier residential  s in the city,5
559,Perfect for families  lazy summer days in London and local cafe's  restaurants and pubs,5
604,The   is located in a really central    Approximately 10     to King's Cross station where there are National Rail trains  Buses  Underground and Eurostar  Also easy access to Heathrow  Gatwick  Stansted  City and Luton airports  King's Cross is a  place to explore    Approximately 10     is Granary Square on the banks of Regent  Canal  This square has over 1 000 coloured fountains  look spectacular at night when lit  There is a shopping mall with an art  cinema at the back  Also there is my favourite big supermarket called Waitrose  and Sainsbury  or Tesco's   It is really convenient to get some food there if you would like to save money to cook in at home    There are also a lot of shops inside St Pancras International station    You can have a meal at one of the   restaurants  Indian  Chinese  Turkish etc     There are wide  south-facing steps going down to the canal from Granary Square  It is carpeted ,5
605,Over several decades Primrose Hill village has evolved from an unknown backwater to a   known and  classy    We do have a supermarket   200 metres but most of the shopfronts are pubs  cafes  restaurants  food and fashion shops  We have none of the usual chains but we do have estate agents who reflect the quality of the local housing  Primrose Hill itself offers one of TripAdvisor's best views of London ,5
619,    from Hampstead Heath and Primrose Hill   shopping and convenience,5
627,There are several  pubs and cafes   as   as trendy Chatsworth Road street market on Sundays  Easy 30     to either Stoke Newington or London Fields cultural hubs ,5
644,Quiet residential    local parks   by with x5 tennis courts play for free with tennis rackets available  for exercise if so desire  Tesco Supermarket   by as   as convenience stores for all your food shopping needs ,5
665,Its a culturally rich  - local food reflects this be it Bangladeshi in Whitechapel to Beigal on brick lane  artisan pizza on netil market  Broadway market on Saturday is 5      Their are fantastic markets like the fruit and veg 6 days a week at Ridley road in Dalston that is  value   The   doesnt stay still for long and every few years a new group of people come to stay a while - I like the change and the moving on and the energy this brings to the     Its a  place to get round to other parts of London from or you can pretty much spend all your time in Hackney ,5
711,The proximity of all of London's main attractions  the  parks and open spaces and shopping facilities in the   will mean that you have the flexibility to select what you want to do during your stay as there is such an array of choice ,5
744,The Apartment is 1     from Guy's Campus' Tuesday Farmer's Market and   2     of London Bridge Rail and Tube stations  numerous bus routes  the 16th century George Inn pub and Borough Market  Dozens of restaurants and the river Thames   a 6      City of London business district a 10       Iconic London sight seeing is in      Tower Bridge  Tower of London  Borough Market  the Tate Modern  Shakespeare's Globe  St Paul's Cathedral  Spitalfield Market  the White Cube Gallery in Bermondsey Street and the Shard with the highest viewing gallery in Europe for unparalleled views over our city  20     along the Thames River brings you to the South Bank Cultural Centre ,5
809,Dalston is one of the coolest s in London  It has tons of bars and restaurants  quirky shops and cultural venues  It's a diverse   with  transport links to Shoreditch and the West End  London fields  Broadway Market and Stoke Newington are also very   ,5
